region,source,image,l_mean,l_median,l_mode,l_max,l_min,l_skew,l_kurt,a_mean,a_median,a_mode,a_max,a_min,a_skew,a_kurt,b_mean,b_median,b_mode,b_max,b_min,b_skew,b_kurt
US,CNN,img_27.jpg,115.525634765625,113.0,103,255,0,0.1608201159899903,-0.47659855279464347,128.9176025390625,129.0,128,154,114,0.7393638954877912,2.7219541714125732,124.9168701171875,129.0,130,160,79,-1.420654154410999,1.4558278230685016
US,CNN,img_23.jpg,141.11712646484375,144.0,197,249,1,-0.2491726200465891,-1.043275075936531,127.88232421875,128.0,128,145,115,0.41281974894344897,0.22281146885373104,133.35833740234375,133.0,131,173,92,-0.19865497119183956,0.2694025604833201
US,CNN,img_37.jpg,86.03875732421875,88.0,27,202,0,-0.044089763008208493,-1.025775364197059,128.0390625,128.0,128,133,123,-0.06230953461953043,0.35904567806892995,126.88604736328125,128.0,129,139,114,-0.29142971676874885,-0.7274650213326339
US,CNN,img_36.jpg,133.68511962890625,149.0,192,249,0,-0.44402376948897665,-0.98421126445393,129.87701416015625,129.0,128,160,120,2.3773231574053924,6.184139839545162,130.8984375,131.0,135,168,101,0.3244730136759855,0.00901504623837468
US,CNN,img_22.jpg,124.5087890625,149.0,156,255,0,-0.2984489191368949,-0.9923991986476031,128.52301025390625,128.0,128,159,113,2.686662715817362,9.292075495399,120.32763671875,126.0,126,159,91,-0.428426163117009,-0.9150144922213852
US,CNN,img_34.jpg,81.1070556640625,89.0,112,189,0,-0.45231786382981326,-0.6362994479520436,127.29876708984375,127.0,126,143,118,2.128268373750449,8.03325561164274,132.252685546875,132.0,131,150,86,-0.46860472618074656,9.37382379572974
US,CNN,img_20.jpg,99.49029541015625,101.0,2,237,0,0.012888398373037827,-1.4576413966779933,126.658935546875,127.0,128,157,110,0.9144817422448753,1.9386838185441277,124.498291015625,123.0,119,179,86,0.18348394955019778,0.6328316553847504
US,CNN,img_21.jpg,89.11553955078125,91.0,12,254,0,0.11864909864728077,-1.207616021773714,127.2164306640625,127.0,128,151,115,1.4005514914367299,5.981101790414483,126.96881103515625,126.0,117,155,115,0.5569947798283782,-0.4690119114617066
US,CNN,img_35.jpg,137.51275634765625,154.0,215,255,1,-0.36417648733421104,-1.2980553452281514,129.45623779296875,128.0,128,159,112,1.4254880552881637,2.2643531109376855,146.6328125,148.0,157,203,62,-0.7043435326206822,2.245690785800619
US,NBC,img_10.jpg,140.02569580078125,166.0,198,254,0,-0.9713395794705839,-0.3594739985542863,126.4503173828125,126.0,125,148,116,1.2411587726978082,3.218286935048476,114.02105712890625,113.0,102,169,80,0.19002550577514352,-1.2033235610844033
US,NBC,img_38.jpg,105.7989501953125,88.0,58,235,0,0.3623944046292511,-1.2063175239995447,128.17474365234375,128.0,128,137,104,-1.4093713072327108,14.408093620469518,122.894287109375,123.0,129,138,111,-0.1348631245531422,-1.0761387373855846
US,NBC,img_1.jpg,125.4169921875,134.0,27,245,1,-0.16153499441740826,-1.3324532869489565,132.11468505859375,131.0,130,199,108,2.151352542849992,12.233996868357986,136.6158447265625,136.0,135,187,67,-0.6413349979053338,3.6261385733498868
US,NBC,img_0.jpg,136.36920166015625,141.0,154,255,0,-0.17760310327336729,-0.8874336673802641,130.030517578125,128.0,128,195,117,4.665287433323024,24.128402233595068,134.17913818359375,134.0,130,173,112,0.21425000060358979,-0.2718634427873763
US,NBC,img_39.jpg,57.27459716796875,54.0,7,255,0,1.1588044618821884,2.2128885339791413,130.4842529296875,130.0,130,148,111,-0.0836511278871462,4.1163372119472585,130.779052734375,130.0,131,192,100,2.550358147173651,21.04669865965568
US,NBC,img_11.jpg,133.99957275390625,138.0,230,248,0,-0.2593103188884849,-0.8548329838578668,128.04937744140625,128.0,128,152,120,1.7498440625758847,10.155699372112991,128.65789794921875,129.0,129,153,88,0.20751858748546262,1.195627700823553
US,NBC,img_13.jpg,114.10333251953125,115.0,36,249,0,0.05855305826150902,-0.9405490895862219,125.6595458984375,125.0,126,156,108,0.11192277957627167,0.5716147592446066,132.2261962890625,131.0,130,170,103,1.4570894872583604,3.672105897534209
US,NBC,img_2.jpg,98.69512939453125,100.0,10,255,0,0.20363083891200942,-0.8375379591486807,132.13702392578125,132.0,133,153,118,0.07972036038632103,2.171901114755623,131.77130126953125,130.0,130,176,102,0.5979134254462334,1.96304156045625
US,NBC,img_3.jpg,138.50433349609375,136.0,230,255,0,-0.08116235646216607,-1.3029507536172162,129.2330322265625,129.0,129,142,117,-1.1387791334318291,8.179639659015393,127.1507568359375,126.0,125,167,93,0.9101433111227301,12.706064843634813
US,NBC,img_12.jpg,82.0714111328125,78.0,27,255,0,0.8067349961281328,0.8019599290825568,128.26556396484375,128.0,128,153,120,1.704902417845982,8.748655245996273,123.91448974609375,125.0,128,147,109,-0.230536566541236,-0.8297248713055678
US,NBC,img_16.jpg,122.4136962890625,98.0,1,255,0,0.13642522903664056,-1.5223615583528103,133.7625732421875,131.0,128,175,89,0.35713114275994473,0.5677309843708138,134.86688232421875,129.0,126,219,56,0.5626717101503023,1.7076579461965018
US,NBC,img_7.jpg,121.919189453125,123.0,27,254,0,-0.04686655993725419,-0.9279170703811914,130.56689453125,130.0,130,156,113,0.8643136594267662,2.4014489316350573,129.5821533203125,129.0,129,156,106,0.45627594551242207,0.9890982644121071
US,NBC,img_6.jpg,82.005615234375,73.0,1,255,0,0.5490230685738134,-0.7173384230074671,130.40460205078125,130.0,128,174,102,3.025359569730157,19.294526408496395,131.75189208984375,130.0,128,190,72,0.7300951309822035,4.245944256665534
