source,image,people_count
China_Daily,img_82.jpg,0
China_Daily,img_7.jpg,0
China_Daily,img_13.jpg,0
China_Daily,img_12.jpg,1
China_Daily,img_29.jpg,1
China_Daily,img_37.jpg,1
China_Daily,img_75.jpg,1
China_Daily,img_48.jpg,1
China_Daily,img_6.jpg,0
China_Daily,img_85.jpg,0
China_Daily,img_79.jpg,0
China_Daily,img_17.jpg,3
China_Daily,img_96.jpg,0
China_Daily,img_73.jpg,2
China_Daily,img_31.jpg,1
China_Daily,img_5.jpg,8
China_Daily,img_80.jpg,0
China_Daily,img_67.jpg,5
China_Daily,img_18.jpg,1
China_Daily,img_93.jpg,5
China_Daily,img_4.jpg,1
China_Daily,img_21.jpg,2
China_Daily,img_9.jpg,0
China_Daily,img_86.jpg,2
China_Daily,img_23.jpg,1
China_Daily,img_15.jpg,2
China_Daily,img_99.jpg,2
China_Daily,img_55.jpg,7
China_Daily,img_2.jpg,2
China_Daily,img_50.jpg,1
China_Daily,img_0.jpg,0
China_Daily,img_41.jpg,3
China_Daily,img_20.jpg,3
China_Daily,img_3.jpg,2
China_Daily,img_32.jpg,1
China_Daily,img_40.jpg,2
China_Daily,img_59.jpg,1
China_Daily,img_92.jpg,0
China_Daily,img_1.jpg,0
China_Daily,img_10.jpg,1
China_Daily,img_56.jpg,2
China_Daily,img_16.jpg,4
China_Daily,img_71.jpg,3
China_Daily,img_90.jpg,2
China_Daily,img_53.jpg,1
China_Daily,img_74.jpg,6
China_Daily,img_88.jpg,1
China_Daily,img_30.jpg,0
China_Daily,img_68.jpg,5
China_Daily,img_24.jpg,11
China_Daily,img_34.jpg,1
China_Daily,img_91.jpg,3
China_Daily,img_95.jpg,3
China_Daily,img_36.jpg,1
China_Daily,img_78.jpg,2
China_Daily,img_60.jpg,0
China_Daily,img_33.jpg,2
China_Daily,img_35.jpg,1
China_Daily,img_84.jpg,0
China_Daily,img_77.jpg,0
China_Daily,img_70.jpg,3
China_Daily,img_42.jpg,0
China_Daily,img_58.jpg,2
China_Daily,img_54.jpg,0
China_Daily,img_45.jpg,0
China_Daily,img_19.jpg,4
China_Daily,img_28.jpg,3
People's_Daily,img_27.jpg,0
People's_Daily,img_25.jpg,0
People's_Daily,img_46.jpg,0
People's_Daily,img_62.jpg,1
People's_Daily,img_76.jpg,1
People's_Daily,img_64.jpg,5
People's_Daily,img_57.jpg,4
People's_Daily,img_72.jpg,0
People's_Daily,img_81.jpg,4
People's_Daily,img_94.jpg,4
People's_Daily,img_38.jpg,2
People's_Daily,img_51.jpg,5
People's_Daily,img_66.jpg,1
People's_Daily,img_26.jpg,4
People's_Daily,img_83.jpg,6
People's_Daily,img_69.jpg,0
People's_Daily,img_11.jpg,4
People's_Daily,img_65.jpg,1
People's_Daily,img_43.jpg,0
People's_Daily,img_8.jpg,0
People's_Daily,img_39.jpg,0
People's_Daily,img_44.jpg,0
People's_Daily,img_63.jpg,0
People's_Daily,img_97.jpg,0
People's_Daily,img_22.jpg,1
People's_Daily,img_52.jpg,3
People's_Daily,img_98.jpg,7
People's_Daily,img_89.jpg,4
People's_Daily,img_47.jpg,2
People's_Daily,img_49.jpg,0
People's_Daily,img_61.jpg,1
People's_Daily,img_87.jpg,0
